,position,release_name,artist_name,release_date,release_type,primary_genres,secondary_genres,descriptors,avg_rating,rating_count,review_count
3534,3534,Deceiver,DIIV,2019-10-04,album,Shoegaze,"Dream Pop, Indie Rock","ethereal, atmospheric, melancholic, bittersweet, warm, malevocals, hypnotic, nocturnal, melodic, autumn",3.42,2978,26
4228,4228,Thin Black Duke,Oxbow,2017-05-05,album,"Experimental Rock, Art Rock","Noise Rock, Symphonic Rock, Blues Rock, Post-Hardcore","sombre, manic, cryptic, dissonant, malevocals, misanthropic, raw, noisy, disturbing, dark",3.47,2539,15
1013,1013,Get Behind Me Satan,The White Stripes,2005-06-07,album,"Alternative Rock, Garage Rock Revival, Blues Rock","Piano Blues, Blues Rock","malevocals, minimalistic, playful, raw, longing, energetic, melodic, love, quirky, rebellious",3.31,7771,180
1748,1748,Wasting Light,Foo Fighters,2011-04-12,album,"Alternative Rock, Hard Rock",Post-Grunge,"malevocals, energetic, anthemic, passionate, melodic, dense, heavy, love, rhythmic, warm",3.45,5340,118
1660,1660,Mechanical Animals,Mar1lyn Man5on,1998-09-15,album,Industrial Rock,Glam Rock,"drugs, malevocals, conceptalbum, dark, sexual, mechanical, futuristic, pessimistic, atmospheric, nihilistic",3.55,5532,146
1676,1676,Saturdays = Youth,M83,2008-04-14,album,Dream Pop,"Shoegaze, Synthpop, Ambient Pop, Synthwave, Electronic","atmospheric, ethereal, melodic, romantic, uplifting, melancholic, lush, femalevocals, malevocals, nocturnal",3.51,5501,132
467,467,Safe as Milk,Captain Beefheart and His Magic Band,1967-09-01,album,"Blues Rock, Psychedelic Rock","Garage Rock, Experimental Rock, Electric Blues","playful, energetic, raw, psychedelic, surreal, malevocals, quirky, rhythmic, humorous, eclectic",3.89,12486,246
1265,1265,Loud City Song,Julia Holter,2013-08-20,album,"Art Pop, Ambient Pop","Chamber Pop, Jazz Pop, Ambient","nocturnal, ethereal, mysterious, urban, atmospheric, poetic, femalevocals, lush, surreal, mellow",3.72,6692,73
4456,4456,Musik von Harmonia,Harmonia,1974-01-01,album,"Krautrock, Progressive Electronic",Ambient,"instrumental, repetitive, psychedelic, hypnotic, minimalistic, summer, sciencefiction, futuristic, atmospheric, calm",3.62,2425,43
2182,2182,Non-Stop Erotic Cabaret,Soft Cell,1981-12-01,album,"Synthpop, New Wave","Electro-Disco, Minimal Synth","sexual, sarcastic, LGBT, malevocals, nocturnal, hedonistic, rhythmic, satirical, party, sensual",3.66,4416,86
4976,4976,Pop Food,Jack Stauber,2017-03-25,album,"Hypnagogic Pop, Bedroom Pop","Synthpop, New Wave, Psychedelic Pop","malevocals, quirky, playful, melodic, warm, psychedelic, humorous, soothing, lo-fi, melancholic",3.35,2179,17
3488,3488,This Is My Truth Tell Me Yours,Manic Street Preachers,1998-09-14,album,"Alternative Rock, Britpop","Pop Rock, Art Rock, Symphonic Rock","introspective, melancholic, malevocals, sombre, melodic, eclectic, sad, conscious",3.54,3005,86
258,258,Appetite for Destruction,Guns n' Roses,1987-07-21,album,Hard Rock,Glam Metal,"energetic, malevocals, sexual, drugs, hedonistic, urban, anthemic, alcohol, party, boastful",3.52,16999,622
2748,2748,Tron: Legacy,Daft Punk,2010-12-07,album,"Film Score, Electronic","Orchestral, Electro House, Ambient, Cinematic Classical, Progressive Electronic, Berlin School","orchestral, instrumental, futuristic, suspenseful, atmospheric, sciencefiction, ominous, lush, repetitive, nocturnal",3.12,3674,56
4642,4642,Dangerously in Love,Beyoncé,2003-06-24,album,"Contemporary R&B, Pop","Smooth Soul, Pop Soul, Dance-Pop","femalevocals, sensual, love, passionate, rhythmic, romantic, mellow, warm",2.74,2343,42
1068,1068,Koi no yokan,Deftones,2012-11-13,album,Alternative Metal,"Alternative Rock, Shoegaze, Dream Pop, Post-Metal","atmospheric, love, ethereal, malevocals, melancholic, anxious, romantic, passionate, heavy, cryptic",3.8,7516,88
1871,1871,October Rust,Type O Negative,1996-08-20,album,Gothic Metal,"Doom Metal, Ethereal Wave, Shoegaze","melancholic, sexual, atmospheric, autumn, romantic, nocturnal, malevocals, lush, dark, sensual",3.82,5023,75
4051,4051,Ego Death,The Internet,2015-06-30,album,"Neo-Soul, Alternative R&B","Jazz-Funk, Acid Jazz, Psychedelic Soul","LGBT, drugs, mellow, romantic, sexual, femalevocals, lush, sensual, rhythmic, nocturnal",3.38,2642,14
1414,1414,Original Pirate Material,The Streets,2002-03-25,album,"UKGarage, UKHip Hop",NA,"urban, humorous, drugs, bittersweet, nocturnal, melancholic, alcohol, philosophical, playful, introspective",3.67,6251,128
3593,3593,The Erosion of Sanity,Gorguts,1993-01-19,album,Technical Death Metal,Brutal Death Metal,"complex, technical, chaotic, heavy, aggressive, energetic, dense, malevocals, apocalyptic, ominous",3.74,2938,42
697,697,Presence,Led Zeppelin,1976-03-31,album,Hard Rock,Blues Rock,"malevocals, energetic, melodic, hedonistic, rhythmic, heavy",3.38,9931,263
1384,1384,David Bowie,David Bowie,1967-06-01,album,"Psychedelic Pop, Baroque Pop","Psychedelic Folk, Baroque Pop","playful, psychedelic, quirky, malevocals, summer, soft, sarcastic, happy, warm, melodic",2.37,6337,139
3369,3369,If I Could Only Remember My Name,David Crosby,1971-02-22,album,"Folk Rock, Singer-Songwriter","Psychedelic Folk, Psychedelic Rock, Country Rock","psychedelic, ethereal, warm, bittersweet, malevocals, lush, autumn, peaceful, passionate, drugs",3.74,3102,105
1487,1487,Train of Thought,Dream Theater,2003-11-11,album,Progressive Metal,Alternative Metal,"heavy, uncommontimesignatures, technical, progressive, angry, malevocals, dark, epic, complex, melancholic",3.47,6039,175
2745,2745,Speak Now,Taylor Swift,2010-10-25,album,"Pop Rock, Singer-Songwriter","Country Pop, Soft Rock, Power Pop","femalevocals, romantic, breakup, love, melancholic, melodic, longing, energetic, sentimental, passionate",3.24,3679,41
847,847,Strange Mercy,St. Vincent,2011-09-13,album,"Art Pop, Indie Pop, Art Rock","Noise Pop, Progressive Pop, Indie Rock","lush, femalevocals, anxious, melodic, noisy, quirky, sensual, bittersweet, passionate, dense",3.66,8803,104
3785,3785,The Perfect Element I,Pain of Salvation,2000-11-14,album,Progressive Metal,Progressive Rock,"introspective, complex, melodic, progressive, conceptalbum, malevocals, eclectic, melancholic, uncommontimesignatures, lonely",3.77,2810,59
4940,4940,Junk,M83,2016-04-08,album,Synthpop,"Nu-Disco, Synthwave, Electropop, Sophisti-Pop","melodic, playful, uplifting, rhythmic, atmospheric, bittersweet, malevocals, femalevocals, mellow",2.67,2194,42
4841,4841,Leichenschrei,SPK,1982-01-01,album,Industrial,"Musiqueconcrète, Dark Ambient","mechanical, dark, sampling, atmospheric, cold, noisy, disturbing, scary, surreal, chaotic",3.75,2245,32
708,708,Black Messiah,D'Angelo and The Vanguard,2014-12-15,album,Neo-Soul,"Funk, Psychedelic Soul, Funk Rock","romantic, political, sexual, sensual, malevocals, conscious, urban, love, rhythmic, passionate",3.93,9799,80
227,227,Saturation III,Brockhampton,2017-12-15,album,"Pop Rap, West Coast Hip Hop","Alternative R&B, Hardcore Hip Hop, Experimental Hip Hop","malevocals, quirky, introspective, LGBT, bittersweet, boastful, summer, eclectic, playful, energetic",3.75,18046,70
3142,3142,For You,山下達郎 [Tatsuro Yamashita],1982-01-21,album,City Pop,"Boogie, Synth Funk, Soft Rock","uplifting, warm, summer, optimistic, passionate, melodic, romantic, happy, lush, love",3.77,3287,20
189,189,Who's Next,The Who,1971-08-25,album,Hard Rock,Art Rock,"energetic, uplifting, melodic, passionate, malevocals, anthemic, rebellious, triumphant, bittersweet, love",3.95,19317,536
2607,2607,Misery Is a Butterfly,Blonde Redhead,2004-03-15,album,"Chamber Pop, Indie Rock, Art Rock",Dream Pop,"lonely, lush, sad, melancholic, conceptalbum, femalevocals, bittersweet, poetic, introspective, love",3.65,3845,57
2588,2588,勝訴ストリップ (Shōso Strip),椎名林檎 [Sheena Ringo],2000-03-31,album,"Art Pop, J-Rock, Noise Pop","Noise Pop, Art Rock, Progressive Pop, J-Pop","noisy, femalevocals, dense, passionate, playful, energetic, melodic, quirky, manic, Wallof Sound",3.89,3861,38
3501,3501,Songs for Drella,Lou Reed & John Cale,1990-04-24,album,Art Rock,"Piano Rock, Singer-Songwriter, Baroque Pop","conceptalbum, melancholic, humorous, malevocals, minimalistic, death, bittersweet, urban, sombre",3.71,2999,61
4416,4416,One Step Beyond...,Madness,1979-10-26,album,2Tone,Rocksteady,"energetic, playful, humorous, malevocals, quirky, rhythmic",3.58,2445,35
3565,3565,E.S.P.,Miles Davis,1965-08-16,album,Post-Bop,"Modal Jazz, Cool Jazz","instrumental, improvisation, acoustic, technical, suspenseful, melodic, rhythmic, warm",3.77,2955,50
4717,4717,Basket of Light,The Pentangle,1969-10-26,album,"British Folk Rock, Folk Baroque","Progressive Folk, English Folk Music, Acoustic Blues","femalevocals, acoustic, malevocals, sentimental, melodic, uplifting, longing, pastoral, spring, uncommontimesignatures",3.76,2305,55
2682,2682,Tales From the Thousand Lakes,Amorphis,1994-07-12,album,Melodic Death Metal,"Progressive Metal, Folk Metal, Death Doom Metal","folklore, lonely, malevocals, mythology, epic, heavy, melancholic, melodic, conceptalbum, mysterious",3.71,3740,86
2288,2288,Psyence Fiction,UNKLE,1998-08-24,album,Trip Hop,"Hip Hop, Alternative Rock, Downtempo","sampling, atmospheric, dark, nocturnal, urban, dense, rhythmic, eclectic, malevocals, hypnotic",3.59,4269,57
4106,4106,"It's Not Me, It's You",Lily Allen,2009-02-04,album,"Pop, Synthpop","Electropop, Indie Pop, Alt-Pop, Chamber Pop","playful, sexual, sarcastic, satirical, deadpan, femalevocals, breakup, conscious, drugs, political",3.29,2612,74
1768,1768,Now Only,Mount Eerie,2018-03-16,album,"Indie Folk, Singer-Songwriter","Avant-Folk, Indie Rock","death, introspective, love, melancholic, malevocals, raw, existential, sombre, serious, longing",3.59,5300,58
2004,2004,The Burning World,Swans,1989-01-01,album,"Neofolk, Gothic Rock","Gothic Country, Gothic Rock","sombre, poetic, melancholic, melodic, femalevocals, malevocals, introspective, ethereal, dark, mellow",3.11,4724,63
3957,3957,Affinità-divergenze fra il compagno Togliatti e noi: Del conseguimento della maggiore età,CCCP Fedeli alla Linea,1986-01-01,album,"Post-Punk, Art Punk",Punk Rock,"political, energetic, anxious, malevocals, lo-fi, anthemic, rhythmic, rebellious, conscious, ominous",3.79,2696,47
2792,2792,Exploding Head,A Place to Bury Strangers,2009-10-05,album,"Post-Punk, Shoegaze, Noise Rock",Noise Pop,"noisy, atmospheric, raw, energetic, malevocals, bittersweet, cold, psychedelic, dark, Wallof Sound",3.59,3637,59
74,74,Magical Mystery Tour,The Beatles,1967-11-27,album,"Psychedelic Pop, Pop Rock","Psychedelic Rock, Sunshine Pop, Art Rock, Art Pop, Baroque Pop","psychedelic, melodic, playful, surreal, malevocals, lush, summer, quirky, love, uplifting",4.06,28754,564
2432,2432,A Head Full of Dreams,Coldplay,2015-12-04,album,Pop Rock,"Piano Rock, Dance-Pop","happy, uplifting, melodic, warm, malevocals, mellow, summer, optimistic, love, bittersweet",2.17,4058,49
3494,3494,Extreme Aggression,Kreator,1989-06-19,album,Thrash Metal,NA,"aggressive, energetic, nihilistic, angry, malevocals, heavy, pessimistic, dark",3.77,3003,69
784,784,Apostrophe ('),Frank Zappa,1974-03-22,album,"Jazz-Rock, Art Rock, Experimental Rock","Comedy Rock, Progressive Rock","humorous, complex, malevocals, eclectic, playful, technical, quirky, uncommontimesignatures, surreal, progressive",3.85,9240,143
1052,1052,Ascension [Edition I],John Coltrane,1966-02-01,album,"Free Jazz, Spiritual Jazz",Experimental Big Band,"instrumental, chaotic, dense, improvisation, spiritual, avant-garde, passionate, complex, manic, dissonant",3.98,7577,119
2847,2847,When Dream and Day Unite,Dream Theater,1989-03-06,album,Progressive Metal,"Progressive Rock, USPower Metal","uncommontimesignatures, complex, melodic, technical, malevocals, philosophical, epic, energetic, progressive, uplifting",2.97,3581,107
591,591,The Idiot,Iggy Pop,1977-03-18,album,"Art Rock, Post-Punk",Industrial Rock,"dark, cold, drugs, hedonistic, nihilistic, anxious, atmospheric, nocturnal, alienation, malevocals",3.85,10986,174
1370,1370,Monoliths & Dimensions,Sunn O))),2009-05-18,album,"Drone Metal, Drone","Dark Ambient, Plainsong, Drone","dark, occult, sombre, atmospheric, heavy, meditative, repetitive, dense, ominous, ritualistic",3.64,6363,98
4399,4399,The End of Heartache,Killswitch Engage,2004-05-11,album,Melodic Metalcore,NA,"passionate, melodic, melancholic, malevocals, energetic, introspective, heavy, breakup",3.3,2455,75
4556,4556,3001: A Laced Odyssey,Flatbush Zombies,2016-03-11,album,"East Coast Hip Hop, Cloud Rap, Abstract Hip Hop, Hardcore Hip Hop",Trap,"drugs, psychedelic, boastful, surreal, urban, atmospheric, abstract, rhythmic, conceptalbum, malevocals",3.13,2386,11
2367,2367,Close to a World Below,Immolation,2000-11-07,album,Death Metal,Technical Death Metal,"infernal, anti-religious, misanthropic, hateful, heavy, nihilistic, dense, dark, dissonant, pessimistic",3.92,4170,77
3767,3767,You Are There,MONO,2006-03-15,album,Post-Rock,Chamber Music,"instrumental, atmospheric, melancholic, winter, sombre, sentimental, longing, cold, dark, lush",3.56,2821,45
2711,2711,Flockaveli,Waka Flocka Flame,2010-10-05,album,"Trap, Dirty South, Southern Hip Hop, Gangsta Rap",Crunk,"aggressive, energetic, violence, urban, crime, party, malevocals, boastful, heavy, drugs",3.45,3718,61
2335,2335,Firepower,Judas Priest,2018-03-09,album,Heavy Metal,NA,"malevocals, energetic, anthemic, heavy, melodic, epic, triumphant",3.55,4203,62
2230,2230,A Storm in Heaven,Verve,1993-06-15,album,"Shoegaze, Space Rock Revival, Neo-Psychedelia","Dream Pop, Space Rock","ethereal, atmospheric, psychedelic, malevocals, passionate, dense, mellow, melodic, bittersweet, poetic",3.63,4333,94
1701,1701,From Filthy Tongue of Gods and Griots,Dälek,2002-08-06,album,"Industrial Hip Hop, Abstract Hip Hop, Experimental Hip Hop","Noise, Conscious Hip Hop, Experimental Rock, Hardcore Hip Hop","noisy, dark, poetic, angry, conscious, misanthropic, anti-religious, apocalyptic, political, pessimistic",3.76,5431,44
604,604,Take Care,Drake,2011-11-15,album,"Pop Rap, Contemporary R&B",Alternative R&B,"melancholic, lonely, breakup, atmospheric, lush, malevocals, boastful, romantic, nocturnal, hedonistic",3.29,10703,89
4189,4189,By the Throat,Ben Frost,2009-10-19,album,"Dark Ambient, Electronic, Post-Industrial","Noise, Chamber Music, Drone","cold, nocturnal, ominous, noisy, dark, mysterious, sombre, atmospheric, anxious, winter",3.57,2558,29
359,359,Pretty Hate Machine,Nine Inch Nails,1989-10-20,album,"Industrial Rock, Electro-Industrial","Synthpop, EBM","angry, mechanical, malevocals, dark, anxious, passionate, sexual, self-hatred, pessimistic, rhythmic",3.69,14474,256
701,701,Virgins,Tim Hecker,2013-10-14,album,"Ambient, Drone, Electroacoustic","Glitch, Noise, Post-Minimalism, Dark Ambient","dark, dense, atmospheric, instrumental, noisy, ominous, surreal, dissonant, hypnotic, cold",3.85,9867,78
1653,1653,Elvis Presley,Elvis Presley,1956-03-13,album,Rock & Roll,"Rockabilly, Nashville Sound","playful, energetic, malevocals, romantic, love, warm, passionate, urban, uplifting, longing",3.5,5556,137
810,810,Leprosy,Death,1988-11-16,album,Death Metal,NA,"aggressive, heavy, death, malevocals, energetic, pessimistic, angry, ominous, manic, rhythmic",3.87,9025,134
2594,2594,Clinging to a Scheme,The Radio Dept.,2010-04-21,album,"Dream Pop, Indie Pop","Shoegaze, Synthpop","romantic, warm, malevocals, ethereal, love, sad, mellow, bittersweet, lush, rain",3.51,3856,48
90,90,Black Sabbath,Black Sabbath,1970-02-13,album,"Heavy Metal, Hard Rock","Blues Rock, Traditional Doom Metal","occult, dark, ominous, sombre, fantasy, malevocals, heavy, psychedelic, funereal, suspenseful",4.06,26137,568
1492,1492,Don't Break the Oath,Mercyful Fate,1984-09-07,album,Heavy Metal,NA,"satanic, energetic, occult, malevocals, melodic, dark, heavy, suspenseful, passionate, anthemic",3.91,6002,130
1811,1811,Spiritual Unity,Albert Ayler Trio,1965-01-01,album,Free Jazz,Spiritual Jazz,"instrumental, chaotic, improvisation, passionate, spiritual, avant-garde, acoustic, manic, anxious, uncommontimesignatures",3.8,5188,90
491,491,Piece of Mind,Iron Maiden,1983-05-16,album,"Heavy Metal, NWOBHM",NA,"malevocals, energetic, epic, passionate, history, anthemic, mythology, melodic, heavy, fantasy",3.82,12242,258
2398,2398,Inlet,Hum,2020-06-23,album,"Shoegaze, Alternative Metal","Space Rock, Post-Metal, Post-Hardcore","heavy, atmospheric, ethereal, malevocals, dense, lonely, nocturnal, melancholic, lush, psychedelic",3.5,4124,54
4731,4731,Romantic Warrior,Return to Forever,1976-01-01,album,"Jazz Fusion, Jazz-Rock",Progressive Rock,"instrumental, technical, medieval, playful, complex, fantasy, epic, progressive, energetic, lush",3.65,2298,65
2753,2753,The Lost Tapes,Nas,2002-09-24,album,"East Coast Hip Hop, Conscious Hip Hop, Hardcore Hip Hop",Boom Bap,"urban, malevocals, sampling, rhythmic, conscious, philosophical, introspective, crime, alcohol, sombre",3.77,3667,69
3148,3148,.5: The Gray Chapter,Slipknot,2014-10-21,album,Alternative Metal,"Nu Metal, Groove Metal","dark, aggressive, heavy, melancholic, malevocals, angry, misanthropic, energetic, death, funereal",2.64,3283,25
1915,1915,obZen,Meshuggah,2008-03-07,album,"Djent, Progressive Metal",NA,"mechanical, technical, heavy, malevocals, complex, apocalyptic, hateful, aggressive, uncommontimesignatures, rhythmic",3.53,4921,119
2892,2892,Narrow Stairs,Death Cab for Cutie,2008-05-13,album,"Indie Pop, Indie Rock",NA,"anxious, melancholic, malevocals, melodic, breakup, dark, sad, introspective, mellow, pessimistic",3.3,3535,93
3422,3422,The Sufferer & the Witness,Rise Against,2006-07-04,album,"Melodic Hardcore, Punk Rock","Alternative Rock, Post-Hardcore","protest, political, energetic, angry, anthemic, rebellious, melodic, malevocals, passionate, melancholic",3.53,3061,56
4778,4778,High 'n' Dry,Def Leppard,1981-07-11,album,"Hard Rock, NWOBHM",Heavy Metal,"energetic, malevocals, melodic, anthemic, love, sexual, playful, heavy, passionate",3.56,2272,87
1613,1613,Relatives in Descent,Protomartyr,2017-09-29,album,Post-Punk,"Art Punk, Noise Rock","dark, malevocals, existential, pessimistic, philosophical, political, anxious, misanthropic, cryptic, noisy",3.68,5694,38
4975,4975,Rave Tapes,Mogwai,2014-01-17,album,Post-Rock,Electronic,"melancholic, cold, calm, malevocals, instrumental",2.96,2179,31
1202,1202,And Their Refinement of the Decline,Stars of the Lid,2007-04-02,album,"Ambient, Drone",Minimalism,"peaceful, atmospheric, meditative, calm, instrumental, melancholic, mellow, minimalistic, warm, soothing",3.88,6932,106
2770,2770,Кров у наших криницях (Blood in Our Wells),Drudkh,2006-03-23,album,"Atmospheric Black Metal, Pagan Black Metal",Ukrainian Folk Music,"nationalism, pagan, history, epic, malevocals, atmospheric, nature, romantic, sombre, repetitive",3.77,3651,51
3171,3171,Little Electric Chicken Heart,Ana Frango Elétrico,2019-09-12,album,"MPB, Chamber Pop, Jazz Pop","Samba-jazz, Psychedelic Pop","femalevocals, mellow, melodic, tropical, playful, happy, energetic, rhythmic, lush, psychedelic",3.61,3265,25
182,182,The Soft Bulletin,The Flaming Lips,1999-06-22,album,"Neo-Psychedelia, Psychedelic Pop","Art Pop, Progressive Pop, Chamber Pop","psychedelic, bittersweet, warm, lush, uplifting, melodic, melancholic, atmospheric, existential, malevocals",3.89,19558,369
4352,4352,Algiers,Algiers,2015-06-02,album,"Post-Punk, Post-Industrial","Gospel, Industrial","political, protest, dark, angry, ominous, atmospheric, passionate, nocturnal, serious, rhythmic",3.35,2482,30
4549,4549,Bad Vibes Forever,XXXTentacion,2019-12-06,album,Singer-Songwriter,"Indie Folk, Trap","malevocals, eclectic, depressive, melancholic, passionate, introspective, lo-fi, melodic, rhythmic, dark",0.93,2389,30
3498,3498,Funkentelechy vs. the Placebo Syndrome,Parliament,1977-11-28,album,P-Funk,Synth Funk,"humorous, playful, rhythmic, sciencefiction, uplifting, quirky, conceptalbum, malevocals, happy, warm",3.92,3001,63
2883,2883,Introspective,Pet Shop Boys,1988-10-10,album,"Synthpop, Dance-Pop, Hi-NRG","House, Electro-Disco, Euro House","introspective, malevocals, party, rhythmic, progressive, sensual, repetitive, deadpan, energetic, love",3.76,3545,51
204,204,Watch the Throne,Jay-Z & Kanye West,2011-08-08,album,"Hip Hop, Pop Rap","Pop Rap, Electronic","boastful, malevocals, urban, sampling, rhythmic, hedonistic, triumphant, lush, energetic, epic",3.13,18860,159
2184,2184,Far Side Virtual,James Ferraro,2011-10-25,album,"Utopian Virtual, Sequencer & Tracker","New Age, Jingles","futuristic, satirical, conceptalbum, playful, urban, surreal, lush, atmospheric, quirky, ethereal",3.27,4404,45
1033,1033,I Disagree,Poppy,2020-01-10,album,Alternative Metal,"Industrial Metal, Electro-Industrial, Nu Metal, Dream Pop","femalevocals, eclectic, heavy, dark, rebellious, playful, melodic, quirky, energetic, anxious",3.34,7674,108
3854,3854,Speak English or Die,S.O.D.,1985-08-30,album,Crossover Thrash,Thrash Metal,"aggressive, humorous, rhythmic, satirical, sarcastic, malevocals, energetic, heavy, violence, vulgar",3.64,2763,68
1291,1291,Dirty Mind,Prince,1980-10-08,album,Synth Funk,"Dance-Pop, Contemporary R&B, Disco, New Wave","sexual, vulgar, playful, rhythmic, energetic, party, malevocals, hedonistic, sensual, androgynousvocals",3.83,6594,140
3393,3393,12 × 5,The Rolling Stones,1964-10-17,album,"British Rhythm & Blues, Blues Rock","Rock & Roll, Rhythm & Blues","raw, malevocals, rhythmic, melodic, rebellious, energetic",3.3,3083,79
4104,4104,Obsidian,Baths,2013-05-28,album,"Glitch Pop, Indietronica","Glitch Hop, Art Pop","LGBT, depressive, dark, self-hatred, melancholic, anxious, pessimistic, nocturnal, sad, suicide",3.39,2613,33
1051,1051,Plastic Surgery Disasters,Dead Kennedys,1982-11-01,album,"Hardcore Punk, Punk Rock",Anarcho-Punk,"sarcastic, energetic, satirical, raw, political, humorous, rebellious, angry, manic, pessimistic",3.93,7582,101
2003,2003,Kiss Land,The Weeknd,2013-09-10,album,Alternative R&B,"Darkwave, Progressive Pop, Electronic","dark, atmospheric, nocturnal, melancholic, malevocals, sexual, progressive, love, sensual, mysterious",3,4727,38
2266,2266,Black Panther The Album Music From and Inspired By,Various Artists,2018-02-09,album,"Film Soundtrack, West Coast Hip Hop","Trap, Pop Rap, Contemporary R&B, Conscious Hip Hop, Hardcore Hip Hop","femalevocals, malevocals, rhythmic, conscious, nocturnal, aggressive, urban, crime, boastful, rebellious",3.07,4292,34
1507,1507,Amplifier Worship,Boris,1998-11-26,album,"Drone Metal, Sludge Metal","Sludge Metal, Doom Metal, Noise Rock, Post-Metal","atmospheric, heavy, hypnotic, repetitive, dense, malevocals, noisy, angry, suspenseful, psychedelic",3.66,5953,52
1919,1919,Sky Blue Sky,Wilco,2007-05-15,album,"Alt-Country, Alternative Rock, Pop Rock","Country Rock, Americana","bittersweet, malevocals, melancholic, peaceful, longing, melodic",3.52,4904,168
594,594,Obscured by Clouds,Pink Floyd,1972-06-02,album,"Psychedelic Rock, Progressive Rock","Film Soundtrack, Hard Rock","psychedelic, mellow, atmospheric, malevocals, progressive, warm, meditative, pastoral, introspective, philosophical",3.34,10916,228
219,219,Liquid Swords,Genius/GZA,1995-11-07,album,"East Coast Hip Hop, Hardcore Hip Hop, Boom Bap",Conscious Hip Hop,"dark, urban, crime, atmospheric, raw, philosophical, rhythmic, sampling, malevocals, ominous",4.11,18230,333
3334,3334,Sing the Sorrow,AFI,2003-03-11,album,"Alternative Rock, Emo-Pop","Melodic Hardcore, Emo-Pop, Post-Hardcore","dark, anthemic, poetic, sombre, melodic, cold, malevocals, energetic, autumn, passionate",3.48,3129,135
870,870,Metal Box,PiL,1979-11-23,album,"Post-Punk, Experimental Rock","Dub, Krautrock, Art Punk, Dance-Punk","dark, anxious, rhythmic, repetitive, cold, malevocals, dissonant, mechanical, nihilistic, avant-garde",3.82,8686,191
3896,3896,The Work Which Transforms God,Blut aus Nord,2003-03-17,album,"Black Metal, Atmospheric Black Metal","Dark Ambient, Industrial, Doom Metal","dissonant, mechanical, cold, ominous, dark, apocalyptic, philosophical, atmospheric, malevocals, sombre",3.67,2738,45
1733,1733,Blue Valentine,Tom Waits,1978-09-05,album,Singer-Songwriter,"Beat Poetry, Blues, Vocal Jazz, Jazz","urban, poetic, malevocals, nocturnal, sad, melancholic, alienation, introspective, atmospheric, romantic",3.75,5372,89
304,304,"I Don't Like Shit, I Don't Go Outside",Earl Sweatshirt,2015-03-23,album,"Abstract Hip Hop, West Coast Hip Hop","Experimental Hip Hop, Cloud Rap, Hardcore Hip Hop","lonely, depressive, dark, misanthropic, nocturnal, drugs, apathetic, melancholic, raw, malevocals",3.72,15717,76
1224,1224,Victorialand,Cocteau Twins,1986-02-10,album,"Dream Pop, Ethereal Wave, Ambient Pop",Ambient,"ethereal, soothing, atmospheric, calm, femalevocals, peaceful, mysterious, winter, meditative, cryptic",3.7,6836,91
3910,3910,Strictly Business,EPMD,1988-06-07,album,"East Coast Hip Hop, Boom Bap",Funk,"boastful, malevocals, rhythmic, urban, sampling, raw, deadpan",3.75,2729,75
1416,1416,Think Tank,Blur,2003-05-05,album,"Alternative Rock, Art Rock","Electronic, Experimental Rock, Art Pop, Trip Hop, Downtempo","malevocals, melancholic, eclectic, atmospheric, anxious, sombre, introspective, lonely, nocturnal, sarcastic",3.43,6239,154
3376,3376,Sauna,Mount Eerie,2015-02-03,album,"Avant-Folk, Drone","Psychedelic Folk, Ambient, Lo-Fi/Slacker Rock","warm, lethargic, malevocals, mellow, philosophical, atmospheric, poetic, eclectic, abstract, soothing",3.36,3098,28
2101,2101,New Morning,Bob Dylan,1970-10-21,album,"Folk Rock, Singer-Songwriter",Country Rock,"love, warm, mellow, malevocals, pastoral, peaceful, calm, uplifting, religious",3.37,4552,129
2674,2674,The Blackening,Machine Head,2007-03-27,album,"Groove Metal, Thrash Metal",NA,"aggressive, hateful, heavy, political, malevocals, dark, angry, energetic, melodic, vulgar",3.63,3750,118
4433,4433,Dressed to Kill,KISS,1975-03-19,album,"Hard Rock, Glam Rock",NA,"malevocals, hedonistic, sexual, love, energetic, happy",3.24,2438,89
3937,3937,Us,Peter Gabriel,1992-09-28,album,"Art Rock, Pop Rock","Progressive Pop, Art Pop","melancholic, sentimental, malevocals, introspective, uplifting, sad, breakup, atmospheric",3.62,2712,72
